운행일자,정산사업자,노선아이디,노선명,노선번호,교통수단구분,교통수단 상세구분명,기점 정류장 아이디,종점 정류장 아이디,기점 정류장 명,종점 정류장 명,노선길이,경유정류장수
2025-06-13,마이비,1,부산지하철1호선,부산지하철1호선,지하철,부산지하철,95,134,다대포해수욕장,노포역,정보없음,40
2025-06-13,마이비,1,부산지하철1호선,부산지하철1호선,지하철,부산지하철,95,134,다대포해수욕장,노포역,정보없음,40
2025-06-13,마이비,1,부산경전철,부산김해경전철,지하철,김해경전철,95,134,가야대역,사상역,정보없음,40
2025-06-13,마이비,2,부산지하철2호선,부산지하철2호선,지하철,부산지하철,201,243,장산역,양산역,정보없음,43
2025-06-13,마이비,2,부산지하철2호선,부산지하철2호선,지하철,부산지하철,201,243,장산역,양산역,정보없음,43
2025-06-13,마이비,3,부산지하철3호선,부산지하철3호선,지하철,부산지하철,301,317,대저역,수영역,정보없음,17
2025-06-13,마이비,3,부산지하철3호선,부산지하철3호선,지하철,부산지하철,301,317,대저역,수영역,정보없음,17
2025-06-13,마이비,4,부산지하철4호선,부산지하철4호선,지하철,부산지하철,401,414,미남역,안평역,정보없음,14
2025-06-13,마이비,4,부산지하철4호선,부산지하철4호선,지하철,부산지하철,401,414,미남역,안평역,정보없음,14
2025-06-13,마이비,25041001,강서구DRT,강서구DRT,버스,부산일반버스,2622205,2622207,정보없음,정보없음,151,3
2025-06-13,마이비,25041001,강서구DRT,강서구DRT,버스,부산일반버스,2622205,2622207,정보없음,정보없음,151,3
2025-06-13,마이비,25501001,전주동물원-전주동물원,80(지선),버스,901태백_좌석1,2506740,2506730,전주동물원,전주동물원,27103,59
2025-06-13,마이비,25501001,전주동물원-전주동물원,80(지선),버스,901태백_좌석1,2506740,2506730,전주동물원,전주동물원,27103,59
2025-06-13,마이비,25501002,전주동물원-전주동물원,32(고정),버스,901태백_좌석1,2506740,2506730,전주동물원,전주동물원,27103,59
2025-06-13,마이비,25501002,전주동물원-전주동물원,32(고정),버스,901태백_좌석1,2506740,2506730,전주동물원,전주동물원,27103,59
2025-06-13,마이비,25501003,전주동물원-전주동물원,102(저상),버스,901태백_좌석1,2506740,2506730,전주동물원,전주동물원,27103,59
2025-06-13,마이비,25501003,전주동물원-전주동물원,102(저상),버스,901태백_좌석1,2506740,2506730,전주동물원,전주동물원,27103,59
2025-06-13,마이비,25501004,전주동물원-전주동물원,97(본선),버스,901태백_좌석1,2506740,2506730,전주동물원,전주동물원,27103,59
2025-06-13,마이비,25501004,전주동물원-전주동물원,97(본선),버스,901태백_좌석1,2506740,2506730,전주동물원,전주동물원,27103,59
2025-06-13,마이비,25501005,평화동종점-평화동종점,5(시민),버스,901태백_좌석1,2504460,2504470,평화동종점,평화동종점,53017,111
2025-06-13,마이비,25501005,평화동종점-평화동종점,5(시민),버스,901태백_좌석1,2504460,2504470,평화동종점,평화동종점,53017,111
2025-06-13,마이비,25501007,평화동종점-평화동종점,46(제일),버스,901태백_좌석1,2504460,2504470,평화동종점,평화동종점,46789,106
2025-06-13,마이비,25501007,평화동종점-평화동종점,46(제일),버스,901태백_좌석1,2504460,2504470,평화동종점,평화동종점,46789,106
2025-06-13,마이비,25501008,평화동종점-평화동종점,73(성진),버스,901태백_좌석1,2504460,2504470,평화동종점,평화동종점,41302,92
2025-06-13,마이비,25501008,평화동종점-평화동종점,73(성진),버스,901태백_좌석1,2504460,2504470,평화동종점,평화동종점,41302,92
2025-06-13,마이비,25501009,중인동-중인동,47(성진),버스,901태백_좌석1,2504090,2504080,중인동,중인동,50754,106
2025-06-13,마이비,25501009,중인동-중인동,47(성진),버스,901태백_좌석1,2504090,2504080,중인동,중인동,50754,106
2025-06-13,마이비,25501010,전주대학교-전주대학교,41(호남),버스,901태백_좌석1,2503680,2503690,전주대학교,전주대학교,56315,137
2025-06-13,마이비,25501010,전주대학교-전주대학교,41(호남),버스,901태백_좌석1,2503680,2503690,전주대학교,전주대학교,56315,137
2025-06-13,마이비,25501011,고산터미널-고산터미널,1-1(고산),버스,902태백_시내2,2513251,2513261,고산터미널,고산터미널,50000,59
2025-06-13,마이비,25501011,고산터미널-고산터미널,1-1(고산),버스,902태백_시내2,2513251,2513261,고산터미널,고산터미널,50000,59
2025-06-13,마이비,25501012,고산터미널-고산터미널,1-2(고산),버스,902태백_시내2,2513261,2513251,고산터미널,고산터미널,39093,49
2025-06-13,마이비,25501012,고산터미널-고산터미널,1-2(고산),버스,902태백_시내2,2513261,2513251,고산터미널,고산터미널,39093,49
2025-06-13,마이비,25501013,고산터미널-고산터미널,1-3(고산),버스,902태백_시내2,2513261,2513251,고산터미널,고산터미널,39610,48
2025-06-13,마이비,25501013,고산터미널-고산터미널,1-3(고산),버스,902태백_시내2,2513261,2513251,고산터미널,고산터미널,39610,48
2025-06-13,마이비,25501014,중인동-중인동,24(제일),버스,901태백_좌석1,2504090,2504080,중인동,중인동,36139,84
2025-06-13,마이비,25501014,중인동-중인동,24(제일),버스,901태백_좌석1,2504090,2504080,중인동,중인동,36139,84
